frequency_rank,character,pinyin,definition,radical,radical_code,stroke_count,hsk_levl,general_standard_num
2965,拣,jiǎn,choose; select; pick up; gather,手,64.5,8,6,961
2966,渺,miǎo,"endlessly long, boundless, vast",水,85.9,12,6,2755
2967,眷,juàn,"take interest in, care for",目,109.6,11,6,2401
2968,悯,mǐn,"pity, sympathize with, grieve for",心,61.7,10,6,2095
2969,汰,tài,"excessive; scour, wash out",水,85.4,7,6,858
2970,慑,shè,"afraid, scared, fearful",心,61.1,13,6,5589
2971,婶,shěn,aunt,女,38.8,11,6,2482
2972,斐,fěi,"graceful, elegant, beautiful",文,67.8,12,6,5122
2973,嘘,xū,exhale; blow out; deep sigh; hiss; praise,口,30.11,14,6,5715
2974,镶,xiāng,"insert, inlay, set, mount; fill",金,167.17,22,6,3497
2975,炕,kàng,the brick-bed in northern China,火,86.4,8,6,1236
2976,宦,huàn,"officialdom, government official",宀,40.6,9,6,1696
2977,趴,pā,"lying prone, leaning over",足,157.2,9,6,1493
2978,绷,běng,"bind, draw firmly, strap",糸,120.8,11,6,2494
2979,窘,jiǒng,embarrassed; hard-pressed,穴,116.7,12,6,2787
2980,襄,xiāng,"aid, help, assist; undress",衣,145.11,17,6,6286
2981,珀,pò,amber,玉,96.5,9,6,4089
2982,嚣,xiāo,be noisy; treat with contempt,口,30.15,18,6,3443
2983,拚,pàn,"risk, disregard; go all out for",手,64.5,8,6,10001
2984,酌,zhuó,serve wine; feast; deliberate,酉,164.3,10,6,1857
2985,浊,zhuó,"muddy, turbid, dirty, filthy",水,85.6,9,6,1668
2986,毓,yù,"give birth to; bring up, educate",毋,80.9,14,6,5754
2987,撼,hàn,"move, shake; (Cant.) to fight",手,64.13,16,6,3315
2988,嗜,shì,"be fond of, have weakness for",口,30.1,13,6,2902
2989,扛,káng,carry on shoulders; lift,手,64.3,6,6,354
2990,峭,qiào,"steep, precipitous, rugged",山,46.7,10,6,1919
2991,磕,kē,"hit; collide, knock into; sound",石,112.1,15,6,3225
2992,翘,qiào,"turn up, lift, elevate, raise",羽,124.6,12,6,2601
2993,槽,cáo,"trough; manger; vat, tank; groove; a distillery",木,75.11,15,6,3214
2994,淌,tǎng,trickle; flow down; drip,水,85.8,11,6,2419
2995,栅,zhà,fence; palisade; grid,木,75.5,9,6,1433
2996,颓,tuí,"ruined, decayed; disintegrate",頁,181.7,13,6,2950
2997,熏,xūn,"smoke, fog, vapor; smoke, cure",火,86.1,14,6,3119
2998,瑛,yīng,luster of gem; crystal,玉,96.9,12,6,5046
2999,颐,yí,cheeks; jaw; chin; rear; to nourish,頁,181.7,13,6,5391
3000,忖,cǔn,"guess, suppose, conjecture",心,61.3,6,6,3629
3001,牡,mǔ,male of animals; bolt of door,牛,93.3,7,6,759
3002,缀,zhuì,"patch together, link, connect",糸,120.8,11,6,2499
3003,徊,huái,"linger, walk to and fro, hesitain",彳,60.6,9,6,1581
3004,梨,lí,"pear; opera; cut, slash",木,75.7,11,5,2313
3005,肪,fáng,animal fat,肉,130.4,8,6,1188
3006,涕,tì,"tear; snivel, nasal mucus",水,85.7,10,6,2083
3007,惫,bèi,"tired, weary, fatigued",夂,34.9,12,6,2722
3008,摹,mó,"trace, copy, duplicate; pattern",手,64.11,14,6,3068
3009,踱,duó,"stroll, pace, walk slowly",足,157.9,16,6,3343
3010,肘,zhǒu,the elbow; help a person shoulder a load,肉,130.3,7,6,806
3011,熔,róng,"melt, smelt, fuse; mold",火,86.1,14,6,3158
3012,挚,zhì,"sincere, warm, cordial; surname",手,64.6,10,6,1808
3013,氯,lǜ,chlorine,气,84.8,12,6,2673
3014,凛,lǐn,to shiver with cold or fear,冫,15.13,15,6,3284
